**********************************************
	Wed Sep 24 21:24:55 2025
	Device Name: STM32F101/F102/F103 Medium-density
**********************************************
	>>>>>> Reception Started <<<<<<

Angle: 0.0000		Command: 0.0500 
ommand: 1.0945 
Angle: 0.0445		Command: 1.0943 
Angle: 0.0445		Command: 1.0941 
Angle: 0.0445		Command: 1.0939 
Angle: 0.0445		Command: 1.0938 
Angle: 0.0445		Command: 1.0936 
Angle: 0.0445		Command: 1.0934 
Angle: 0.0445		Command: 1.0932 
Angle: 0.0445		Command: 1.0930 
Angle: 0.0445		Command: 1.0929 
Angle: 0.0445		Command: 1.0927 
Angle: 0.0445		Command: 1.0925 
Angle: 0.0445		Command: 1.0923 
Angle: 0.0445		Command: 1.0922 
Angle: 0.0445		Command: 1.0920 
Angle: 0.0445		Command: 1.0918 
Angle: 0.0445		Command: 1.0916 
Angle: 0.0445		Command: 1.0915 
Angle: 0.0445		Command: 1.0913 
Angle: 0.0445		Command: 1.0911 
Angle: 0.0445		Command: 1.0909 
Angle: 0.0301		Command: 1.0409 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		Command: 1.0000 
Angle: 0.0301		gle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0269		Command: 1.0000 
Angle: -0.0270		Command: 1.0000 
Angle: -0.0270		Command: 1.0000 
Angle: -0.0270		Command: 1.0000 
